Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Anomaly
1850,-0.37
1851,-0.12
1852,-0.15
1853,0.00
1854,-0.23
1855,0.01
1856,-0.08
1857,-0.28
1858,-0.16
1859,-0.09
1860,-0.12
1861,-0.46
1862,-0.40
1863,-0.04
1864,-0.34
1865,-0.04
1866,0.10
1867,-0.21
1868,-0.41
1869,-0.13
1870,-0.04
1871,-0.26
1872,-0.17
1873,-0.10
1874,-0.04
1875,-0.39
1876,-0.25
1877,-0.14
1878,0.11
1879,-0.05
1880,-0.15
1881,-0.14
1882,0.15
1883,-0.32
1884,-0.16
1885,-0.58
1886,-0.29
1887,-0.53
1888,-0.29
1889,-0.04
1890,-0.36
1891,-0.28
1892,-0.21
1893,-0.67
1894,-0.35
1895,-0.34
1896,-0.15
1897,-0.06
1898,0.00
1899,-0.23
1900,-0.30
1901,-0.13
1902,-0.16
1903,-0.15
1904,-0.49
1905,-0.26
1906,-0.21
1907,-0.36
1908,-0.37
1909,-0.50
1910,-0.30
1911,-0.54
1912,-0.24
1913,-0.34
1914,0.05
1915,-0.17
1916,-0.20
1917,-0.60
1918,-0.44
1919,-0.15
1920,-0.25
1921,-0.09
1922,-0.29
1923,-0.25
1924,-0.18
1925,-0.36
1926,0.13
1927,-0.27
1928,-0.05
1929,-0.42
1930,-0.29
1931,-0.07
1932,0.10
1933,-0.26
1934,-0.25
1935,-0.30
1936,-0.30
1937,-0.09
1938,0.08
1939,-0.09
1940,0.08
1941,0.22
1942,0.31
1943,-0.03
1944,0.31
1945,0.18
1946,0.17
1947,-0.03
1948,0.02
1949,0.06
1950,-0.20
1951,-0.31
1952,0.14
1953,0.07
1954,-0.20
1955,0.13
1956,-0.11
1957,-0.06
1958,0.35
1959,0.07
1960,0.05
1961,0.14
1962,0.08
1963,0.02
1964,-0.08
1965,-0.09
1966,-0.14
1967,-0.11
1968,-0.18
1969,-0.08
1970,0.15
1971,-0.02
1972,-0.24
1973,0.34
1974,-0.08
1975,0.06
1976,-0.01
1977,0.20
1978,0.15
1979,0.14
1980,0.35
1981,0.55
1982,0.11
1983,0.51
1984,0.31
1985,0.28
1986,0.23
1987,0.30
1988,0.53
1989,0.12
1990,0.40
1991,0.42
1992,0.44
1993,0.34
1994,0.22
1995,0.55
1996,0.28
1997,0.29
1998,0.58
1999,0.49
2000,0.34
2001,0.43
2002,0.68
2003,0.71
2004,0.58
2005,0.74
2006,0.63
2007,0.93
2008,0.29
2009,0.66
2010,0.74
2011,0.55
2012,0.48
2013,0.70
2014,0.74
2015,0.82
2016,1.22
2017,1.05
2018,0.83
2019,0.91
2020,1.13
2021,0.83
2022,0.93
